id,observations,researchGrade,species,observers,lastObserved,topTaxa,source
chudasandra-kere,0,0,0,0,,,inaturalist-2026-09
chunchanaghatta-kere,52,38,33,10,2026-05-29,Brachythemis contaminata (Ditch Jewel);Egretta garzetta (Little Egret);Crocothemis servilia (Scarlet Skimmer);Haliastur indus (Brahminy Kite);Milvus migrans (Black Kite);Alcedo atthis (Common Kingfisher);Anas poecilorhyncha (Indian Spot-billed Duck);Anhinga melanogaster (Oriental Darter);Ardea cinerea (Grey Heron);Camponotus compressus (Indian Black Ant),inaturalist-2026-09
chunchnakuppe-kere,0,0,0,0,,,inaturalist-2026-09
chunchnakuppe-kere-e,0,0,0,0,,,inaturalist-2026-09
chunchnakuppe-kere-s,0,0,0,0,,,inaturalist-2026-09
cihkkamaranahalli-lake,57,35,35,9,2026-05-02,Ficus racemosa (Cluster Fig);Cinnyris asiaticus (Purple Sunbird);Leptocoma zeylonica (Purple-rumped Sunbird);Orthotomus sutorius (Common Tailorbird);Psilopogon viridis (White-cheeked Barbet);Talicada nyseus (Red Pierrot);Acridotheres fuscus (Jungle Myna);Amata passalis (sandalwood defoliator);Anomala ruficapilla;Apis dorsata (Giant Honey Bee),inaturalist-2026-09
city-railway-kere,1,1,1,1,2025-01-08,Syntomoides imaon (Handmaiden moth),inaturalist-2026-09
city-railway-kunte,0,0,0,0,,,inaturalist-2026-09
d-shettihalli-kere,0,0,0,0,,,inaturalist-2026-09
dakshina-pinakini-r,0,0,0,0,,,inaturalist-2026-09
damarasanakunte,0,0,0,0,,,inaturalist-2026-09
dandu-upparahalli-kere,7,5,6,6,2026-01-12,Azadirachta indica (Neem);Cocos nucifera (coconut palm);Jatropha integerrima (Peregrina);Nepita conferta (Footman moth);Streptopelia decaocto (Eurasian Collared-Dove);Vespa tropica (Greater Banded Hornet),inaturalist-2026-09
dandupalya-lake,0,0,0,0,,,inaturalist-2026-09
dasanakatte-1,1,0,1,1,2023-11-02,Hygrophila auriculata (Kokilasha),inaturalist-2026-09
dasanakatte-2,0,0,0,0,,,inaturalist-2026-09
dasanapura-kunte-1,0,0,0,0,,,inaturalist-2026-09
dasanapura-kunte-2,0,0,0,0,,,inaturalist-2026-09
dasanapura-lake,0,0,0,0,,,inaturalist-2026-09
dasanayakanahalli-kere,0,0,0,0,,,inaturalist-2026-09
dasanayakanahalli-kunte,0,0,0,0,,,inaturalist-2026-09
dasarahalli-kere,0,0,0,0,,,inaturalist-2026-09
dasarahalli-kere-2,64,54,13,3,2026-08-04,Jansenia westermanni (Flightless Tethys Tiger Beetle);Myriochila fastidiosa (Yellow-legged Tiger Beetle);Cicindela goryi (Lowland Tiger Beetle);Cicindela bicolor (Bicoloured Tiger Beetle);Calotropis gigantea (crown flower);Eublemma accedens (Oriental Banner);Glinus oppositifolius (Slender Carpet-weed);Grangea maderaspatana (Madras carpet);Junonia lemonias (Lemon Pansy);Liris subtessellatus,inaturalist-2026-09
dasarahalli-kunte,4,3,1,1,2023-02-23,Pantala flavescens (Wandering Glider),inaturalist-2026-09
dasarahalli-kunte1,0,0,0,0,,,inaturalist-2026-09
dasarahalli-kunte2,0,0,0,0,,,inaturalist-2026-09
deevatige-ramanahalli-kunte,0,0,0,0,,,inaturalist-2026-09
deevatigeramnahalli-kere,0,0,0,0,,,inaturalist-2026-09
degonahalli-kere,0,0,0,0,,,inaturalist-2026-09
degonahalli-lower-kere,0,0,0,0,,,inaturalist-2026-09
deshpande-guttahalli-lake,0,0,0,0,,,inaturalist-2026-09
devaganahalli-lake,0,0,0,0,,,inaturalist-2026-09
devagere-kere,0,0,0,0,,,inaturalist-2026-09
devagere-kunte-2,0,0,0,0,,,inaturalist-2026-09
devageri-kunte-1,0,0,0,0,,,inaturalist-2026-09
devagondi-kere,0,0,0,0,,,inaturalist-2026-09
devamachehalli-lake,0,0,0,0,,,inaturalist-2026-09
devanahalli-kere,0,0,0,0,,,inaturalist-2026-09
devangondi-lake,0,0,0,0,,,inaturalist-2026-09
devara-jeevanahalli-lake,0,0,0,0,,,inaturalist-2026-09
devara-kere,0,0,0,0,,,inaturalist-2026-09
devarabisanahalli-kere,4,3,3,4,2026-01-05,Delonix regia (Flamboyant);Microcarbo niger (Little Cormorant);Porphyrio poliocephalus (Gray-headed Swamphen),inaturalist-2026-09
devarabisanahalli-kunte1,0,0,0,0,,,inaturalist-2026-09
devarabisanahalli-kunte2,1,1,1,1,2026-03-12,Trithemis aurora (Crimson Marsh Glider),inaturalist-2026-09
devarachikkanahalli-kunte,0,0,0,0,,,inaturalist-2026-09
devarahalli-lake,0,0,0,0,,,inaturalist-2026-09
devarakere,58,36,34,11,2026-07-04,Tachybaptus ruficollis (Little Grebe);Cyornis tickelliae (Tickell's Blue Flycatcher);Fulica atra (Eurasian Coot);Haliastur indus (Brahminy Kite);Laevicaulis alte (Tropical Leatherleaf Slug);Microcarbo niger (Little Cormorant);Milvus migrans (Black Kite);Phoenix sylvestris (sugar date palm);Amata passalis (sandalwood defoliator);Anas poecilorhyncha (Indian Spot-billed Duck),inaturalist-2026-09
devasandra-kunte1,4,0,2,4,2026-02-17,Mesembryanthemum cordifolium (heart-leaf ice plant);Tagetes erecta (Mexican Marigold),inaturalist-2026-09
dhandithimmayyanapalya-lake,0,0,0,0,,,inaturalist-2026-09
dharmambudy-lake,23,8,13,13,2026-04-13,Corvus splendens (House Crow);Caltoris kumara (Blank Swift);Canis familiaris (Domestic Dog);Clanis bilineata;Cyrtacanthacris tatarica (Brown‐spotted Locust);Elymnias caudata (Tailed Palmfly);Ficus benghalensis (Indian banyan);Ficus religiosa (Sacred fig);Muntingia calabura (calabur tree);Periplaneta americana (American Cockroach),inaturalist-2026-09
dibburu-kere,0,0,0,0,,,inaturalist-2026-09
dinne-soluru-kere,0,0,0,0,,,inaturalist-2026-09
dinnehalli-tanda-lake,0,0,0,0,,,inaturalist-2026-09
dinnepalya-lake,0,0,0,0,,,inaturalist-2026-09
dobbasapete-lake,0,0,0,0,,,inaturalist-2026-09
dobhi-ghat,0,0,0,0,,,inaturalist-2026-09
dodbele-kere,0,0,0,0,,,inaturalist-2026-09
dodda-bettahalli,0,0,0,0,,,inaturalist-2026-09
dodda-bommasandra-lake,359,266,107,37,2026-07-11,Ardea purpurea (Purple Heron);Anas poecilorhyncha (Indian Spot-billed Duck);Porphyrio poliocephalus (Gray-headed Swamphen);Ardeola grayii (Indian Pond-Heron);Asystasia gangetica (Chinese violet);Fulica atra (Eurasian Coot);Vanellus indicus (Red-wattled Lapwing);Halcyon smyrnensis (White-throated Kingfisher);Acridotheres tristis (Common Myna);Ardea coromanda (Eastern Cattle-Egret),inaturalist-2026-09
dodda-chimanahalli,0,0,0,0,,,inaturalist-2026-09
dodda-hejjaji-lake,0,0,0,0,,,inaturalist-2026-09
dodda-jala-amani-kere,42,21,24,3,2025-11-26,Anas poecilorhyncha (Indian Spot-billed Duck);Psilopogon haemacephalus (Coppersmith Barbet);Acridotheres tristis (Common Myna);Ardea coromanda (Eastern Cattle-Egret);Ardea purpurea (Purple Heron);Ardeola grayii (Indian Pond-Heron);Cinnyris asiaticus (Purple Sunbird);Cisticola juncidis (Zitting Cisticola);Crocothemis servilia (Scarlet Skimmer);Danaus genutia (Common Tiger Butterfly),inaturalist-2026-09
dodda-koliga-kere,0,0,0,0,,,inaturalist-2026-09
dodda-nallala-kere,0,0,0,0,,,inaturalist-2026-09
dodda-sagarahalli-kere,0,0,0,0,,,inaturalist-2026-09
dodda-sanne-kere,0,0,0,0,,,inaturalist-2026-09
dodda-thimmasandra-kere-s,0,0,0,0,,,inaturalist-2026-09
dodda-tumkur-kere,19,13,16,5,2025-07-20,Ploceus philippinus (Baya Weaver);Calotropis gigantea (crown flower);Cepora nerissa (Common Gull);Chrysocolaptes festivus (White-naped Woodpecker);Copsychus fulicatus (Indian Robin);Dendrocygna javanica (Lesser Whistling-Duck);Euodice malabarica (Indian Silverbill);Gomphrena globosa (Globe amaranth);Guilandina bonduc (Nickernut);Ipomoea carnea (Bush Morning Glory),inaturalist-2026-09
dodda-vadagere-kere,0,0,0,0,,,inaturalist-2026-09
doddaballapur-kere,10,3,4,5,2026-04-18,Ceriagrion coromandelianum (Coromandel Marsh Dart);Conosia irrorata (Spider Cranefly);Lagerstroemia speciosa (Giant Crepe-myrtle);Urothemis signata (Scarlet Basker),inaturalist-2026-09
doddabanahalli-kere,0,0,0,0,,,inaturalist-2026-09
doddabanahalli-kere-2,0,0,0,0,,,inaturalist-2026-09
doddabanahalli-kunte1,0,0,0,0,,,inaturalist-2026-09
doddabanahalli-kunte2,0,0,0,0,,,inaturalist-2026-09
doddabanahalli-kunte3,0,0,0,0,,,inaturalist-2026-09
doddabele-kunte1,0,0,0,0,,,inaturalist-2026-09
doddabele-kunte2,0,0,0,0,,,inaturalist-2026-09
doddabele-small-2r,0,0,0,0,,,inaturalist-2026-09
doddabettahalli-kunte-1,0,0,0,0,,,inaturalist-2026-09
doddabettahalli-kunte-2,0,0,0,0,,,inaturalist-2026-09
doddabidarakallu-kunte1,0,0,0,0,,,inaturalist-2026-09
doddabidarakallu-kunte10,0,0,0,0,,,inaturalist-2026-09
doddabidarakallu-kunte11,0,0,0,0,,,inaturalist-2026-09
doddabidarakallu-kunte2,0,0,0,0,,,inaturalist-2026-09
doddabidarakallu-kunte3,0,0,0,0,,,inaturalist-2026-09
doddabidarakallu-kunte4,0,0,0,0,,,inaturalist-2026-09
doddabidarakallu-kunte5,0,0,0,0,,,inaturalist-2026-09
doddabidarakallu-kunte6,0,0,0,0,,,inaturalist-2026-09
doddabidarakallu-kunte7,0,0,0,0,,,inaturalist-2026-09
doddabidarakallu-kunte8,0,0,0,0,,,inaturalist-2026-09
doddabidarakallu-kunte9,0,0,0,0,,,inaturalist-2026-09
doddabidarakallu-lake,88,80,48,1,2025-10-18,Tringa glareola (Wood Sandpiper);Pavo cristatus (Indian Peafowl);Himantopus himantopus (Black-winged Stilt);Plegadis falcinellus (Glossy Ibis);Thinornis dubius (Little Ringed Plover);Halcyon smyrnensis (White-throated Kingfisher);Motacilla cinerea (Grey Wagtail);Motacilla maderaspatensis (White-browed Wagtail);Tringa ochropus (Green Sandpiper);Vanellus indicus (Red-wattled Lapwing),inaturalist-2026-09
doddabommasandra-kunte-1,0,0,0,0,,,inaturalist-2026-09
doddabommasandra-kunte-2,0,0,0,0,,,inaturalist-2026-09
doddadunnasandra-lake,0,0,0,0,,,inaturalist-2026-09
doddaganahalli-lake,0,0,0,0,,,inaturalist-2026-09
doddaghataginebbe-lake,0,0,0,0,,,inaturalist-2026-09
doddagubbi-kere,70,55,46,12,2026-07-30,Tringa ochropus (Green Sandpiper);Ardea alba (Great Egret);Ardea purpurea (Purple Heron);Anhinga melanogaster (Oriental Darter);Ardea cinerea (Grey Heron);Brachythemis contaminata (Ditch Jewel);Ceryle rudis (Pied Kingfisher);Microcarbo niger (Little Cormorant);Phalacrocorax carbo (Great Cormorant);Tachybaptus ruficollis (Little Grebe),inaturalist-2026-09
doddagubbi-kunte1,0,0,0,0,,,inaturalist-2026-09
doddagubbi-kunte2,1,0,1,1,2021-06-21,Pisolithus albus,inaturalist-2026-09
doddakallasandra-katte,0,0,0,0,,,inaturalist-2026-09
doddakallasandra-lake,82,69,53,12,2026-06-28,Anas poecilorhyncha (Indian Spot-billed Duck);Milvus migrans (Black Kite);Ardea cinerea (Grey Heron);Pavo cristatus (Indian Peafowl);Porphyrio poliocephalus (Gray-headed Swamphen);Threskiornis melanocephalus (Black-headed Ibis);Ceriagrion coromandelianum (Coromandel Marsh Dart);Danaus chrysippus (Plain Tiger Butterfly);Egretta garzetta (Little Egret);Haliastur indus (Brahminy Kite),inaturalist-2026-09
doddakannalli-kunte1,0,0,0,0,,,inaturalist-2026-09
doddakannalli-kunte2,0,0,0,0,,,inaturalist-2026-09
doddakannalli-kunte3,0,0,0,0,,,inaturalist-2026-09
doddakannalli-kunte4,0,0,0,0,,,inaturalist-2026-09
doddakannalli-kunte5,22,9,12,6,2026-08-26,Dicaeum erythrorhynchos (Pale-billed Flowerpecker);Merops orientalis (Asian Green Bee-eater);Tradescantia pallida (Purple Heart);Agaricus incultorum (Poor-ground Agaricus);Amata passalis (sandalwood defoliator);Apis dorsata (Giant Honey Bee);Conocybe apala (milky conecap);Curinus coeruleus (Metallic Blue Lady Beetle);Hesperocyparis lusitanica (Mexican cypress);Milvus migrans (Black Kite),inaturalist-2026-09
doddakannalli-kunte6,0,0,0,0,,,inaturalist-2026-09
doddakannalli-kunte7,1,1,1,1,2026-07-19,Haliastur indus (Brahminy Kite),inaturalist-2026-09
doddakanneli-gramadakere,11,11,7,2,2026-05-03,Ardeola grayii (Indian Pond-Heron);Metopidius indicus (Bronze-winged Jacana);Anthus rufulus (Paddyfield Pipit);Coracias benghalensis (Indian Roller);Egretta garzetta (Little Egret);Mycteria leucocephala (Painted Stork);Urva edwardsii (Indian Grey Mongoose),inaturalist-2026-09
doddakarenahalli-kere,0,0,0,0,,,inaturalist-2026-09
doddakodlu,11,6,9,5,2026-07-05,Argiope anasuja (Signature Spider);Brachythemis contaminata (Ditch Jewel);Dysdercus cingulatus (Indian Cotton Stainer);Ficus racemosa (Cluster Fig);Laevicaulis haroldi (Harold Dundee's Leatherback Slug);Myrmicaria brunnea (Brown Droptail Ant);Orvasca subnotata;Peucetia viridana (Indian Green Lynx Spider);Prinia inornata (Plain Prinia),inaturalist-2026-09
doddakunte-rudrabhomi-kunte,0,0,0,0,,,inaturalist-2026-09
doddanagamanagala-lake,8,6,7,2,2020-02-01,Andrographis serpyllifolia;Cucumis dipsaceus (Teasel Gourd);Evolvulus nummularius (Dwarf Morning Glory);Limnophila repens;Mesosphaerum suaveolens (Wide Spikenard);Pigea enneasperma (Spade Flower);Scutellera perplexa,inaturalist-2026-09
doddanagamangala-kunte1,0,0,0,0,,,inaturalist-2026-09
doddanagamangala-kunte2,0,0,0,0,,,inaturalist-2026-09
doddanagamangala-kunte3,0,0,0,0,,,inaturalist-2026-09
doddanekkudi-kunte1,0,0,0,0,,,inaturalist-2026-09
doddanekkudi-kunte2,1,0,1,1,2022-05-09,Arhopala amantes (Large Oakblue),inaturalist-2026-09
doddanekkudi-kunte3,1,0,1,1,2022-05-09,Arhopala amantes (Large Oakblue),inaturalist-2026-09
doddanekkudi-kunte4,0,0,0,0,,,inaturalist-2026-09
doddanekkudi-kunte5,3,1,2,2,2021-12-11,Aristolochia gigantea (Brazilian Dutchman's Pipe);Ypthima huebneri (Common Four-ring),inaturalist-2026-09
doddanekundi-kere,1265,908,334,47,2026-09-05,Ardea cinerea (Grey Heron);Porphyrio poliocephalus (Gray-headed Swamphen);Egretta garzetta (Little Egret);Halcyon smyrnensis (White-throated Kingfisher);Ardea purpurea (Purple Heron);Ardeola grayii (Indian Pond-Heron);Acrocephalus dumetorum (Blyth's Reed Warbler);Dicrurus macrocercus (Black Drongo);Mycteria leucocephala (Painted Stork);Threskiornis melanocephalus (Black-headed Ibis),inaturalist-2026-09
doddanekundi-kere1,3,3,3,3,2026-09-01,Acridotheres tristis (Common Myna);Butea monosperma (Flame of The Forest);Melanitis leda (Common Evening Brown),inaturalist-2026-09
doddanekundi-kunte,109,90,51,10,2026-08-11,Mycteria leucocephala (Painted Stork);Tachybaptus ruficollis (Little Grebe);Phalacrocorax carbo (Great Cormorant);Ardea cinerea (Grey Heron);Artamus fuscus (Ashy Woodswallow);Fowlea piscator (Chequered Keelback);Dicrurus macrocercus (Black Drongo);Anas poecilorhyncha (Indian Spot-billed Duck);Brachythemis contaminata (Ditch Jewel);Fulica atra (Eurasian Coot),inaturalist-2026-09
doddastadamaradapala-kere,0,0,0,0,,,inaturalist-2026-09
doddatogur-kunte-1,1,0,0,1,2024-08-17,,inaturalist-2026-09
doddatogur-kunte-2,0,0,0,0,,,inaturalist-2026-09
doddatogur-lake,0,0,0,0,,,inaturalist-2026-09
doddebele-kere,19,11,10,4,2026-06-12,Ardea purpurea (Purple Heron);Ardea cinerea (Grey Heron);Brachythemis contaminata (Ditch Jewel);Camponotus compressus (Indian Black Ant);Camponotus sericeus (Silky Sugar ant);Centropus sinensis (Greater Coucal);Eurema hecabe (Common Grass Yellow);Haliastur indus (Brahminy Kite);Milvus migrans (Black Kite);Pachliopta hector (Crimson Rose),inaturalist-2026-09
doddenahalli-kere,0,0,0,0,,,inaturalist-2026-09
doddenahalli-kunte,0,0,0,0,,,inaturalist-2026-09
dodderi-kere,0,0,0,0,,,inaturalist-2026-09
dodderi-kere-2,0,0,0,0,,,inaturalist-2026-09
dodderi-kere-2-2,0,0,0,0,,,inaturalist-2026-09
dodderi-kere-se,0,0,0,0,,,inaturalist-2026-09
dodderi-kere-sw,0,0,0,0,,,inaturalist-2026-09
dodkunte-kunte1,1,1,1,1,2021-07-08,Ficus racemosa (Cluster Fig),inaturalist-2026-09
dodkunte-kunte2,0,0,0,0,,,inaturalist-2026-09
dodkunte-kunte3,5,3,3,2,2024-11-06,Livistona chinensis (Chinese fan palm);Combretum indicum (Rangoon Creeper);Solanum diphyllum (twoleaf nightshade),inaturalist-2026-09
dodkunte-kunte4,5,4,4,2,2025-06-15,Ariophanta exilis (Two-Striated Ariophanta);Junonia iphita (Chocolate Pansy);Oxalis corniculata (Creeping Woodsorrel);Talicada nyseus (Red Pierrot),inaturalist-2026-09
dodmaranhalli-lake,0,0,0,0,,,inaturalist-2026-09
dokkanahalli-kunte,2,1,2,2,2025-08-23,Coprinellus disseminatus (Trooping Crumble Cap);Muntingia calabura (calabur tree),inaturalist-2026-09
dombarahalli-kunte,0,0,0,0,,,inaturalist-2026-09
domluru-kere,1,0,0,1,2025-06-01,,inaturalist-2026-09
dommasandra-govt-kunte-4,0,0,0,0,,,inaturalist-2026-09
dommasandra-govt-lake-2,0,0,0,0,,,inaturalist-2026-09
dommasandra-kere-s,0,0,0,0,,,inaturalist-2026-09
dommasandra-kunte-1,0,0,0,0,,,inaturalist-2026-09
dommasandra-kunte-10,0,0,0,0,,,inaturalist-2026-09
dommasandra-kunte-11,0,0,0,0,,,inaturalist-2026-09
dommasandra-kunte-12,0,0,0,0,,,inaturalist-2026-09
dommasandra-kunte-13,0,0,0,0,,,inaturalist-2026-09
dommasandra-kunte-14,0,0,0,0,,,inaturalist-2026-09
dommasandra-kunte-15,0,0,0,0,,,inaturalist-2026-09
dommasandra-kunte-2,0,0,0,0,,,inaturalist-2026-09
dommasandra-kunte-5,0,0,0,0,,,inaturalist-2026-09
dommasandra-kunte-6,0,0,0,0,,,inaturalist-2026-09
dommasandra-kunte-7,0,0,0,0,,,inaturalist-2026-09
dommasandra-kunte-8,0,0,0,0,,,inaturalist-2026-09
dommasandra-kunte-9,0,0,0,0,,,inaturalist-2026-09
donenahalli-kere-lower,0,0,0,0,,,inaturalist-2026-09
donenahalli-kere-upper,0,0,0,0,,,inaturalist-2026-09
doraikere,309,183,113,19,2026-08-15,Ardea cinerea (Grey Heron);Vanellus indicus (Red-wattled Lapwing);Ardeola grayii (Indian Pond-Heron);Threskiornis melanocephalus (Black-headed Ibis);Phalacrocorax carbo (Great Cormorant);Plegadis falcinellus (Glossy Ibis);Himantopus himantopus (Black-winged Stilt);Mycteria leucocephala (Painted Stork);Amaurornis phoenicurus (White-breasted Waterhen);Egretta garzetta (Little Egret),inaturalist-2026-09
dummy,0,0,0,0,,,inaturalist-2026-09
dummy-2,0,0,0,0,,,inaturalist-2026-09
dyavasandra-lake,8,7,8,2,2021-07-14,Anthus trivialis (Tree Pipit);Athene brama (Spotted Owlet);Calotes versicolor (Indian Garden Lizard);Ficus virens (White fig);Merops orientalis (Asian Green Bee-eater);Nettapus coromandelianus (Cotton Pygmy-Goose);Rhyothemis variegata (Common Picture Wing);Rostratula benghalensis (Greater Painted-Snipe),inaturalist-2026-09
dyavasandra-lake-2,0,0,0,0,,,inaturalist-2026-09
earannana-kunte,0,0,0,0,,,inaturalist-2026-09
ejipura-kunte,0,0,0,0,,,inaturalist-2026-09
elenahalli-lake,11,10,11,4,2025-09-20,Anas poecilorhyncha (Indian Spot-billed Duck);Ardea cinerea (Grey Heron);Fulica atra (Eurasian Coot);Gallinula chloropus (Eurasian Moorhen);Holoptelea integrifolia (Indian elm);Ichnocarpus frutescens (Black creeper);Junonia iphita (Chocolate Pansy);Otus bakkamoena (Indian Scops-Owl);Psittacula krameri (Rose-ringed Parakeet);Spilopelia chinensis (Spotted Dove),inaturalist-2026-09
ettakodi-lake,0,0,0,0,,,inaturalist-2026-09
ettakodi-lake-2,0,0,0,0,,,inaturalist-2026-09
gabburu-lower-tank,0,0,0,0,,,inaturalist-2026-09
gaddam-bachchahalli-kere,0,0,0,0,,,inaturalist-2026-09
gadenahali-lake,0,0,0,0,,,inaturalist-2026-09
gadenahalli-lake,0,0,0,0,,,inaturalist-2026-09
gadigarapalya-kere,0,0,0,0,,,inaturalist-2026-09
gadipalya-lake,0,0,0,0,,,inaturalist-2026-09
gadipalya-lake-2,0,0,0,0,,,inaturalist-2026-09
gadipalyada-halla-lake,0,0,0,0,,,inaturalist-2026-09
gajagadahalli-kere,0,0,0,0,,,inaturalist-2026-09
gajagadahalli-lake,0,0,0,0,,,inaturalist-2026-09
galibilikote-lake,0,0,0,0,,,inaturalist-2026-09
ganadalu-lake,0,0,0,0,,,inaturalist-2026-09
ganakallu-kere,0,0,0,0,,,inaturalist-2026-09
ganapathihalli-kere,0,0,0,0,,,inaturalist-2026-09
ganapathihalli-lake,0,0,0,0,,,inaturalist-2026-09
gandaragolipura-kere,0,0,0,0,,,inaturalist-2026-09
gandarajapura-kere,0,0,0,0,,,inaturalist-2026-09
gandhigram-lower,0,0,0,0,,,inaturalist-2026-09
gandhinagar-lake,0,0,0,0,,,inaturalist-2026-09
gandigram-n,0,0,0,0,,,inaturalist-2026-09
gangasandra-kere,0,0,0,0,,,inaturalist-2026-09
gangasandra-kunte,0,0,0,0,,,inaturalist-2026-09
gangavara-lake,1,0,0,1,2025-10-24,,inaturalist-2026-09
gangenahalli-lake,0,0,0,0,,,inaturalist-2026-09
gangondanahalli-kere,0,0,0,0,,,inaturalist-2026-09
gangondanahalli-kunte,4,1,2,1,2025-07-27,Catharanthus roseus (Madagascar Periwinkle);Cyrtococcum patens,inaturalist-2026-09
gangondanahalli-kunte1,0,0,0,0,,,inaturalist-2026-09
gangondanahalli-kunte2,0,0,0,0,,,inaturalist-2026-09
gangondanahalli-kunte3,0,0,0,0,,,inaturalist-2026-09
gangondanahalli-lake,0,0,0,0,,,inaturalist-2026-09
ganigarahalli-kere,0,0,0,0,,,inaturalist-2026-09
gantiganahalli-kere,33,22,21,12,2025-11-03,Anas poecilorhyncha (Indian Spot-billed Duck);Anhinga melanogaster (Oriental Darter);Solanum torvum (Turkey Berry);Amandava amandava (Red Avadavat);Ampulex compressa (Emerald Cockroach Wasp);Ardea cinerea (Grey Heron);Chamaecrista rotundifolia (roundleaf sensitive pea);Coccinella transversalis (Small Transverse Ladybird Beetle);Euchrysops cnejus (Gram Blue);Eurema hecabe (Common Grass Yellow),inaturalist-2026-09
gantiganahalli-kunte-1,0,0,0,0,,,inaturalist-2026-09
gantiganahalli-kunte-2,0,0,0,0,,,inaturalist-2026-09
gantiganahalli-kunte-3,0,0,0,0,,,inaturalist-2026-09
gantiganahalli-kunte-4,0,0,0,0,,,inaturalist-2026-09
gantiganahalli-kunte-5,0,0,0,0,,,inaturalist-2026-09
garudacharpalya-lake,0,0,0,0,,,inaturalist-2026-09
garvebhavipalya-lake,0,0,0,0,,,inaturalist-2026-09
gattihalli-govt-lake,32,13,16,6,2026-07-19,Aspidomorpha miliaris (Sweetpotato Leaf Beetle);Brachythemis contaminata (Ditch Jewel);Ceriagrion coromandelianum (Coromandel Marsh Dart);Chromolaena odorata (Siam weed);Chrysocolaptes festivus (White-naped Woodpecker);Danaus chrysippus (Plain Tiger Butterfly);Fowlea piscator (Chequered Keelback);Haliastur indus (Brahminy Kite);Ischnura senegalensis (Common Bluetail);Lantana camara (common lantana),inaturalist-2026-09
gattihalli-kunte-1,0,0,0,0,,,inaturalist-2026-09
gattihalli-kunte-2,0,0,0,0,,,inaturalist-2026-09
gavipura-kunte-1,1,1,1,1,2022-06-19,Centropus sinensis (Greater Coucal),inaturalist-2026-09
gavipura-kunte-2,0,0,0,0,,,inaturalist-2026-09
gavipura-lake,0,0,0,0,,,inaturalist-2026-09
geddalahalli-kunte,0,0,0,0,,,inaturalist-2026-09
geddalahalli-lake,79,35,37,5,2026-09-10,Apis cerana (Asian Honey Bee);Leptocoma zeylonica (Purple-rumped Sunbird);Oxyopes shweta (White Lynx Spider);Pycnonotus jocosus (Red-whiskered Bulbul);Agenioideus nubecula;Ardea coromanda (Eastern Cattle-Egret);Belenois aurota (Pioneer White);Brachythemis contaminata (Ditch Jewel);Carica papaya (Papaya);Euagoras plagiatus,inaturalist-2026-09
giddanahalli-lake,0,0,0,0,,,inaturalist-2026-09
giddatapura-lake,0,0,0,0,,,inaturalist-2026-09
giddenahalli-lake,0,0,0,0,,,inaturalist-2026-09
giddenahalli-lake-2,0,0,0,0,,,inaturalist-2026-09
giddlahallipura-kere,0,0,0,0,,,inaturalist-2026-09
girupalya-kere,2,2,2,2,2022-11-14,Crocothemis servilia (Scarlet Skimmer);Naja naja (Indian Cobra),inaturalist-2026-09
gollahalli-govt-lake,36,33,23,1,2024-07-28,Porphyrio poliocephalus (Gray-headed Swamphen);Fulica atra (Eurasian Coot);Metopidius indicus (Bronze-winged Jacana);Danaus chrysippus (Plain Tiger Butterfly);Acridotheres tristis (Common Myna);Amaurornis phoenicurus (White-breasted Waterhen);Anas poecilorhyncha (Indian Spot-billed Duck);Ardeola grayii (Indian Pond-Heron);Ariadne merione (Common Castor Butterfly);Catopsilia pyranthe (Mottled Emigrant),inaturalist-2026-09
gollahalli-kere,0,0,0,0,,,inaturalist-2026-09
gollahalli-kunte,0,0,0,0,,,inaturalist-2026-09
gollahalli-kunte-2,0,0,0,0,,,inaturalist-2026-09
gollapura3r,0,0,0,0,,,inaturalist-2026-09
gollarapalya-kere,0,0,0,0,,,inaturalist-2026-09
gollarapalya-lake,0,0,0,0,,,inaturalist-2026-09
gonakanahalli-kere,0,0,0,0,,,inaturalist-2026-09
gongadipura-kere,0,0,0,0,,,inaturalist-2026-09
gongadipura-kunte,0,0,0,0,,,inaturalist-2026-09
gonigatpura-lake,0,0,0,0,,,inaturalist-2026-09
gonigatpura-lake-2,0,0,0,0,,,inaturalist-2026-09
gonigatpura-lake-3,0,0,0,0,,,inaturalist-2026-09
gonipura-1,0,0,0,0,,,inaturalist-2026-09
gonipura-2,1,1,1,1,2021-01-12,Calotes versicolor (Indian Garden Lizard),inaturalist-2026-09
gonipura-lake,0,0,0,0,,,inaturalist-2026-09
gonur-lake,0,0,0,0,,,inaturalist-2026-09
gopalpura-kere,0,0,0,0,,,inaturalist-2026-09
gopenahalli-lake,0,0,0,0,,,inaturalist-2026-09
gopsandra-lake,0,0,0,0,,,inaturalist-2026-09
goravigere-kunte1,0,0,0,0,,,inaturalist-2026-09
goravigere-kunte2,1,0,0,1,2023-07-23,,inaturalist-2026-09
goravigere-kunte3,0,0,0,0,,,inaturalist-2026-09
goravigere-kunte4,0,0,0,0,,,inaturalist-2026-09
gottamaranahalli-lake,0,0,0,0,,,inaturalist-2026-09
